"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)","2971-36-0","DTXSID8022325",4.622,317.6," ","9.63,10.2",136.5,3.57e-05,0.005,NA,317.6,4.622,0.005,NA,136.5,29.0821933164787,FALSE,136.5,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"2,4-d","94-75-7","DTXSID0020442",2.809,221," ","2.81",0,0.1488,0.04001,2.11,221,2.809,0.04001,2.11,0,10.0756373266771,TRUE,10.0756373266771,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"2,4-db","94-82-6","DTXSID7024035",3.528,249.1," ","3.58",0,0.1038,0.006623,NA,249.1,3.528,0.006623,NA,0,146.079365432633,TRUE,146.079365432633,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"2-phenylphenol","90-43-7","DTXSID2021151",3.091,170.2," ","9.69",0,0.1635,0.04105,NA,170.2,3.091,0.04105,NA,0,6.96296622268458,TRUE,6.96296622268458,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"6-desisopropylatrazine","1007-28-9","DTXSID0037495",1.15,173.6,"3.41"," ",0,0.5387,0.4588,NA,173.6,1.15,0.4588,NA,0,2.12389723011348,TRUE,2.12389723011348,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Abamectin","71751-41-2","DTXSID8023892",4.48,819," ","12.5,13.2,13.8",5.24,0.000917,0.06687,NA,819,4.48,0.06687,NA,5.24,10.8140846056267,FALSE,5.24,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Acephate","30560-19-1","DTXSID8023846",-0.8482,183.2," ","6.54",0,0.000143,0.8684,NA,183.2,-0.8482,0.8684,NA,0,7.04852446626445,TRUE,7.04852446626445,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Acetamiprid","135410-20-7","DTXSID0034300",1.834,222.7,"4.16"," ",0,0.9983,0.5732,NA,222.7,1.834,0.5732,NA,0,3.18400610153572,TRUE,3.18400610153572,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Acetochlor","34256-82-1","DTXSID8023848",3.032,269.8," "," ",84.71,0.01893,0.1598,NA,269.8,3.032,0.1598,NA,84.71,33.9108633792459,FALSE,84.71,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Acifluorfen","50594-66-6","DTXSID0020022",3.701,361.7," ","1.36",0,1,0.0111,NA,361.7,3.701,0.0111,NA,0,25.21761411447,TRUE,25.21761411447,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Alachlor","15972-60-8","DTXSID1022265",3.518,269.8," "," ",62.9,0.0003882,0.1332,NA,269.8,3.518,0.1332,NA,62.9,25.4587899340915,FALSE,62.9,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Aldicarb","116-06-3","DTXSID0039223",1.129,190.3,"1.63","14.3",0,0.3291,0.4809,NA,190.3,1.129,0.4809,NA,0,1.7042979761079,TRUE,1.7042979761079,"RF_imputed_chem.physical_and_invitro.data",37,0.0839766700006578,6.20869034230064,"example.toxcast",NA,NA,NA,NA,NA
"Ametryn","834-12-8","DTXSID1023869",2.979,227.3,"5.74","14.8",14.7,NA,0.003952,NA,227.3,2.979,0.003952,NA,14.7,27.6385480929504,FALSE,14.7,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Amitraz","33089-61-1","DTXSID5023871",5.495,293.4,"8.83,8.22"," ",33.3,0,3.02e-08,NA,293.4,5.495,3.02e-08,NA,33.3,27.8057569037972,FALSE,33.3,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
