CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
2971-36-0,"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",317.6,4.622,0.005,136.5,136.5,httk_measured
71751-41-2,Abamectin,819.0,4.48,0.06687,5.24,5.24,httk_measured
34256-82-1,Acetochlor,269.8,3.032,0.1598,84.71,84.71,httk_measured
15972-60-8,Alachlor,269.8,3.518,0.1332,62.9,62.9,httk_measured
834-12-8,Ametryn,227.3,2.979,0.003952,14.7,14.7,httk_measured
33089-61-1,Amitraz,293.4,5.495,1e-06,33.3,33.3,httk_measured
101-05-3,Anilazine,275.5,3.878,0.005,22.5,22.5,httk_measured
86-50-0,Azinphos-methyl,317.3,2.749,0.2137,32.63,32.63,httk_measured
131860-33-8,Azoxystrobin,403.4,2.503,0.04763,32.39,32.39,httk_measured
22781-23-3,Bendiocarb,223.2,1.702,0.1971,21.66,21.66,httk_measured
83055-99-6,Bensulfuron-methyl,410.4,2.289,0.00905,1.65,1.65,httk_measured
741-58-2,Bensulide,397.5,4.209,0.006078,250.3,250.3,httk_measured
149877-41-8,Bifenazate,300.4,3.165,0.836,41.15,41.15,httk_measured
80-05-7,Bisphenol-a,228.3,3.32,0.0385,19.9,19.9,httk_measured
188425-85-6,Boscalid,343.2,2.961,0.03201,17.28,17.28,httk_measured
1689-84-5,Bromoxynil,276.9,2.625,0.5001,7.866,7.866,httk_measured
69327-76-0,Buprofezin,305.4,4.299,0.0003605,18.47,18.47,httk_measured
23184-66-9,Butachlor,311.8,4.497,0.005,100.8,100.8,httk_measured
33629-47-9,Butralin,295.3,4.929,0.005,31.35,31.35,httk_measured
2008-41-5,Butylate,217.4,4.149,0.005,52.51,52.51,httk_measured
63-25-2,Carbaryl,201.2,2.358,0.6922,27.27,27.27,httk_measured
5234-68-4,Carboxin,235.3,2.14,0.175,24.41,24.41,httk_measured
54593-83-8,Chlorethoxyfos,336.0,4.588,0.00394,617.0,617.0,httk_measured
101-21-3,Chlorpropham,213.7,3.507,0.0833,78.1,78.1,httk_measured
5598-13-0,Chlorpyrifos-methyl,322.5,4.31,0.005,24.1,24.1,httk_measured
87818-31-3,Cinmethylin,274.4,4.62,0.005,28.17,28.17,httk_measured
81777-89-1,Clomazone,239.7,2.498,0.1734,3.038,3.038,httk_measured
210880-92-5,Clothianidin,249.7,0.7017,0.5059,10.73,10.73,httk_measured
56-72-4,Coumaphos,362.8,4.128,1e-06,31.7,31.7,httk_measured
1134-23-2,Cycloate,215.4,3.924,0.005,34.48,34.48,httk_measured
94361-06-5,Cyproconazole,291.8,2.902,0.1086,1.538,1.538,httk_measured
121552-61-2,Cyprodinil,225.3,3.998,0.002141,37.77,37.77,httk_measured
533-74-4,Dazomet,162.3,0.6304,0.8914,12.42,12.42,httk_measured
333-41-5,Diazinon,304.3,3.809,0.0388,30.5,30.5,httk_measured
962-58-3,Diazoxon,288.3,2.072,0.3269,34.62,34.62,httk_measured
145701-21-9,Diclosulam,406.2,2.52,0.00648,3.442,3.442,httk_measured
115-32-2,Dicofol,370.5,5.024,1e-06,27.8,27.8,httk_measured
134-62-3,Diethyltoluamide,191.3,2.184,0.3559,3.797,3.797,httk_measured
119446-68-3,Difenoconazole,406.3,4.297,0.0115,30.6,30.6,httk_measured
87674-68-8,Dimethenamid,275.8,2.15,0.2318,19.92,19.92,httk_measured
60-51-5,Dimethoate,229.2,0.7805,0.9649,3.682,3.682,httk_measured
110488-70-5,Dimethomorph,387.9,2.68,0.09428,20.3,20.3,httk_measured
122-39-4,Diphenylamine,169.2,3.499,0.003875,64.57,64.57,httk_measured
97886-45-8,Dithiopyr,401.4,4.749,0.005,13.25,13.25,httk_measured
330-54-1,Diuron,233.1,2.678,0.1615,12.15,12.15,httk_measured
759-94-4,Eptc,189.3,3.21,0.005,80.36,80.36,httk_measured
26225-79-6,Ethofumesate,286.3,2.703,0.1313,17.64,17.64,httk_measured
13194-48-4,Ethoprop,242.3,3.588,0.09346,20.95,20.95,httk_measured
153233-91-1,Etoxazole,359.4,3.762,0.005,18.48,18.48,httk_measured
2593-15-9,Etridiazole,247.5,3.368,0.005,127.0,127.0,httk_measured
161326-34-7,Fenamidone,311.4,2.747,0.02436,17.74,17.74,httk_measured
22224-92-6,Fenamiphos,303.4,3.23,0.04138,62.11,62.11,httk_measured
60168-88-9,Fenarimol,331.2,3.59,0.03671,3.788,3.788,httk_measured
114369-43-6,Fenbuconazole,336.8,3.229,0.0188,21.7,21.7,httk_measured
126833-17-8,Fenhexamid,302.2,3.513,0.05719,35.27,35.27,httk_measured
122-14-5,Fenitrothion,277.2,3.301,0.005,10.02,10.02,httk_measured
72490-01-8,Fenoxycarb,301.3,4.297,0.00327,23.1,23.1,httk_measured
55-38-9,Fenthion,278.3,4.09,0.02203,87.2,87.2,httk_measured
79241-46-6,Fluazifop-p-butyl,383.4,4.5,0.005,234.4,234.4,httk_measured
79622-59-6,Fluazinam,465.1,4.01,0.004357,24.76,24.76,httk_measured
131341-86-1,Fludioxonil,248.2,4.116,0.003583,37.05,37.05,httk_measured
142459-58-3,Flufenacet,363.3,3.2,0.1375,29.0,29.0,httk_measured
98967-40-9,Flumetsulam,325.3,1.61,0.01727,7.521,7.521,httk_measured
103361-09-7,Flumioxazin,354.3,2.549,0.02807,8.336,8.336,httk_measured
2164-17-2,Fluometuron,232.2,2.421,0.2589,10.06,10.06,httk_measured
361377-29-9,Fluoxastrobin,458.8,4.011,0.0362,16.35,16.35,httk_measured
69377-81-7,Fluroxypyr,255.0,1.677,0.09194,1.791,1.791,httk_measured
85509-19-9,Flusilazole,315.4,3.701,0.02893,6.959,6.959,httk_measured
66332-96-5,Flutolanil,323.3,3.702,0.01882,14.17,14.17,httk_measured
68157-60-8,Forchlorfenuron,247.7,3.199,0.02755,26.87,26.87,httk_measured
23422-53-9,Formetanate hydrochloride,257.7,-0.4626,0.8853,13.72,13.72,httk_measured
79983-71-4,Hexaconazole,314.2,3.899,0.041,16.22,16.22,httk_measured
51235-04-2,Hexazinone,252.3,1.849,0.613,6.361,6.361,httk_measured
78587-05-0,Hexythiazox,352.9,2.905,0.005,110.4,110.4,httk_measured
119515-38-7,Icaridin,229.3,2.534,0.2842,12.56,12.56,httk_measured
81335-37-7,Imazaquin,311.3,1.861,0.1513,2.457,2.457,httk_measured
81335-77-5,Imazethapyr,289.3,1.446,0.2895,2.351,2.351,httk_measured
138261-41-3,Imidacloprid,255.7,0.5735,0.6559,2.807,2.807,httk_measured
173584-44-6,Indoxacarb,527.8,4.647,0.005,31.36,31.36,httk_measured
144550-36-7,Iodosulfuron-methyl-sodium,529.2,1.881,0.006681,5.691,5.691,httk_measured
36734-19-7,Iprodione,330.2,2.998,0.005,11.7,11.7,httk_measured
42509-80-8,Isazofos,313.7,3.819,0.06539,19.53,19.53,httk_measured
82558-50-7,Isoxaben,332.4,3.94,0.0718,17.7,17.7,httk_measured
141112-29-0,Isoxaflutole,359.3,2.322,0.01655,20.42,20.42,httk_measured
330-55-2,Linuron,249.1,3.198,0.1051,33.05,33.05,httk_measured
121-75-5,Malathion,330.4,2.359,0.145,368.0,368.0,httk_measured
208465-21-8,Mesosulfuron-methyl,503.5,1.014,0.005,5.452,5.452,httk_measured
950-37-8,Methidathion,302.3,2.199,0.2685,3.924,3.924,httk_measured
72-43-5,Methoxychlor,345.6,5.08,0.0171,12.5,12.5,httk_measured
