CAS,Compound,MW,logP,Fup,Clint_RF_pred,log10_Clint_pred,Clint_source
66441-23-4,Fenoxaprop-ethyl,361.8,4.579,0.005,166.8265,2.2223,RF_predicted_544model
94-82-6,"2,4-db",249.1,3.528,0.006623,150.8019,2.1784,RF_predicted_544model
81406-37-3,Fluroxypyr-meptyl,367.2,4.529,0.005,118.4601,2.0736,RF_predicted_544model
131-17-9,Diallyl phthalate,246.3,3.229,0.9621,99.7709,1.999,RF_predicted_544model
88-85-7,Dinoseb,240.2,3.559,0.00043,79.6525,1.9012,RF_predicted_544model
129-73-7,Leucomalachite green,330.5,5.525,1e-06,71.4876,1.8542,RF_predicted_544model
3691-35-8,Chlorophacinone,374.8,4.064,1e-06,64.4509,1.8092,RF_predicted_544model
92-04-6,2-chloro-4-phenylphenol,204.6,4.165,1e-06,63.5334,1.803,RF_predicted_544model
50594-66-6,Acifluorfen,361.7,3.701,0.0111,61.2433,1.7871,RF_predicted_544model
654055-01-3,Morin hydrate,338.3,1.499,1e-06,60.0278,1.7784,RF_predicted_544model
1166-52-5,Lauryl gallate,338.4,4.638,1e-06,56.6093,1.7529,RF_predicted_544model
14233-37-5,"1,4-bis(n-isopropylamino)anthraquinone",322.4,3.459,0.00728,54.8105,1.7389,RF_predicted_544model
113136-77-9,Cyclanilide,274.1,2.683,0.984,52.9801,1.7241,RF_predicted_544model
3739-38-6,3-phenoxybenzoic acid,214.2,3.906,0.00716,52.588,1.7209,RF_predicted_544model
290352-28-2,Cp-634384,341.4,3.337,0.0126,50.2905,1.7015,RF_predicted_544model
94-74-6,Mcpa,200.6,3.243,0.01797,50.2159,1.7008,RF_predicted_544model
51338-27-3,Diclofop-methyl,341.2,4.709,0.005,47.8839,1.6802,RF_predicted_544model
NOCAS_48505,Pharmagsid_48505,353.8,3.169,0.0135,46.8853,1.671,RF_predicted_544model
90-43-7,2-phenylphenol,170.2,3.091,0.04105,46.6139,1.6685,RF_predicted_544model
608-73-1,"1,2,3,4,5,6-hexachlorocyclohexane",290.8,3.719,0.0174,45.5051,1.6581,RF_predicted_544model
120-36-5,Dichlorprop,235.1,2.827,0.008529,45.2295,1.6554,RF_predicted_544model
101-10-0,Cloprop,200.6,2.542,0.02239,44.8383,1.6517,RF_predicted_544model
51-28-5,"""2,4-dinitrophenol""",184.1,1.672,0.02723,44.6616,1.6499,RF_predicted_544model
57-63-6,Ethinylestradiol,296.4,3.669,0.014,44.2624,1.646,RF_predicted_544model
58-89-9,Lindane,290.8,3.719,0.0165,44.1076,1.6445,RF_predicted_544model
534-52-1,"""2-methyl-4,6-dinitrophenol""",198.1,2.131,0.002637,43.6875,1.6404,RF_predicted_544model
3118-97-6,C.i. solvent orange 7,276.3,4.442,1e-06,43.5229,1.6387,RF_predicted_544model
93-76-5,"2,4,5-trichlorophenoxyacetic acid",255.5,3.31,0.0127,42.0645,1.6239,RF_predicted_544model
84-16-2,Meso-hexestrol,270.4,4.274,0.00772,42.0233,1.6235,RF_predicted_544model
842-07-9,C.i. solvent yellow 14,248.3,3.866,0.00277,41.5062,1.6181,RF_predicted_544model
156052-68-5,Zoxamide,336.6,3.759,0.01031,40.0426,1.6025,RF_predicted_544model
298-02-2,Phorate,260.4,3.693,0.0129,39.9778,1.6018,RF_predicted_544model
92-84-2,Phenothiazine,199.3,4.149,0.0043,39.4554,1.5961,RF_predicted_544model
99-30-9,Dichloran,207.0,2.799,0.005,39.138,1.5926,RF_predicted_544model
51707-55-2,Thidiazuron,220.2,1.769,0.02837,36.1397,1.558,RF_predicted_544model
121-14-2,"""2,4-dinitrotoluene""",182.1,1.979,0.09602,34.9275,1.5432,RF_predicted_544model
1194-65-6,Dichlobenil,172.0,2.741,0.06222,34.8178,1.5418,RF_predicted_544model
19666-30-9,Oxadiazon,345.2,4.798,0.00364,34.4706,1.5375,RF_predicted_544model
124495-18-7,Quinoxyfen,308.1,4.66,0.005,32.6807,1.5143,RF_predicted_544model
59-40-5,Sulfaquinoxaline,300.3,1.68,0.0037,30.917,1.4902,RF_predicted_544model
1154-59-2,"3,5-dichlorosalicyl-3,4-dichloroanullide",351.0,5.109,1e-06,30.0473,1.4778,RF_predicted_544model
110235-47-7,Mepanipyrim,223.3,3.279,0.03419,29.7574,1.4736,RF_predicted_544model
74115-24-5,Clofentezine,303.2,3.1,0.005,29.5931,1.4712,RF_predicted_544model
83657-24-3,Diniconazole,326.2,4.297,0.01947,29.3319,1.4674,RF_predicted_544model
91-64-5,Coumarin,146.1,1.391,0.1922,29.2578,1.4663,RF_predicted_544model
2212-67-1,Molinate,187.3,3.209,0.09714,29.2476,1.4661,RF_predicted_544model
13301-61-6,C.i. disperse orange 37,392.2,3.178,0.00145,29.2151,1.4656,RF_predicted_544model
25057-89-0,Bentazone,240.3,2.337,0.02147,29.1941,1.4653,RF_predicted_544model
113-48-4,Mgk,275.4,3.7,0.005,28.8965,1.4609,RF_predicted_544model
60-57-1,Dieldrin,380.9,5.118,0.009376,28.8097,1.4596,RF_predicted_544model
102-06-7,"""1,3-diphenylguanidine""",211.3,2.959,0.7844,28.0898,1.4486,RF_predicted_544model
90-15-3,1-naphthol,144.2,2.85,0.0682,27.5396,1.44,RF_predicted_544model
126-73-8,Tributyl phosphate,266.3,3.997,0.03481,27.2108,1.4348,RF_predicted_544model
1563-38-8,"2,3-dihydro-2,2-dimethyl-7-benzofuranol",164.2,2.083,0.364,27.1662,1.434,RF_predicted_544model
569-57-3,Chlorotrianisene,380.9,5.725,1e-06,27.1257,1.4334,RF_predicted_544model
99-07-0,3-dimethylaminophenol,137.2,1.561,0.242,26.7575,1.4275,RF_predicted_544model
122-99-6,Phenoxyethanol,138.2,1.161,0.2957,26.079,1.4163,RF_predicted_544model
125-13-3,Oxyphenisatin,317.3,3.339,0.0266,25.3156,1.4034,RF_predicted_544model
72-54-8,"""p,p'-ddd""",320.0,6.129,0.03115,24.6572,1.392,RF_predicted_544model
583-39-1,2-mercaptobenzimidazole,150.2,1.66,0.4,24.5851,1.3907,RF_predicted_544model
95-14-7,"1,2,3-benzotriazole",119.1,1.439,0.287,24.558,1.3902,RF_predicted_544model
72-20-8,Endrin,380.9,5.118,0.006423,24.3375,1.3863,RF_predicted_544model
35554-44-0,Imazalil,297.2,3.818,0.02956,24.2236,1.3843,RF_predicted_544model
42874-03-3,Oxyfluorfen,361.7,4.73,0.1218,23.9314,1.379,RF_predicted_544model
4418-26-2,Sodium dehydroacetate,190.1,-2.545,0.062,23.6017,1.373,RF_predicted_544model
7173-51-5,Didecyl dimethyl ammonium chloride,362.1,2.683,0.005,23.4886,1.3709,RF_predicted_544model
55335-06-3,Triclopyr,256.5,2.516,0.02237,23.0414,1.3625,RF_predicted_544model
10540-29-1,Tamoxifen,371.5,6.235,0.00165,22.9613,1.361,RF_predicted_544model
126-00-1,Diphenolic acid,286.3,3.455,0.163,22.6583,1.3552,RF_predicted_544model
53-16-7,Estrone,270.4,3.132,0.0308,22.5172,1.3525,RF_predicted_544model
106-47-8,4-chloroanulline,127.6,1.832,0.264,22.3911,1.3501,RF_predicted_544model
35367-38-5,Diflubenzuron,310.7,3.877,0.0308,21.5259,1.333,RF_predicted_544model
98-86-2,Acetophenone,120.2,1.582,0.326,21.3986,1.3304,RF_predicted_544model
59-50-7,4-chloro-3-methylphenol,142.6,3.091,0.0723,21.2667,1.3277,RF_predicted_544model
13080-86-9,"4,4'-(isopropylidenebis(4,1-phenyleneoxy))dianiline",410.5,6.357,1e-06,21.236,1.3271,RF_predicted_544model
81-81-2,Warfarin,308.3,2.7,0.01327,21.1691,1.3257,RF_predicted_544model
10453-86-8,Resmethrin,338.4,6.14,0.005,21.0471,1.3232,RF_predicted_544model
88-24-4,"2,2'-methylenebis(ethyl-6-tert-butylphenol)",368.6,7.47,0.00513,20.988,1.322,RF_predicted_544model
1024-57-3,"""heptachlor epoxide, isomer b""",389.3,5.191,0.01068,20.9291,1.3208,RF_predicted_544model
94-75-7,"2,4-d",221.0,2.809,0.04001,20.3265,1.3081,RF_predicted_544model
791-28-6,Triphenylphosphine oxide,278.3,2.835,0.101,19.9213,1.2993,RF_predicted_544model
114-07-8,Erythromycin,733.9,3.06,0.5653,19.7217,1.295,RF_predicted_544model
84087-01-4,Quinclorac,242.1,2.772,0.02799,19.7035,1.2946,RF_predicted_544model
989-38-8,Rhodamine 6g,479.0,1.207,1e-06,18.9255,1.2771,RF_predicted_544model
77501-63-4,Lactofen,461.8,4.808,0.005,18.879,1.276,RF_predicted_544model
1746-81-2,Monolinuron,214.6,2.297,0.205,18.8169,1.2746,RF_predicted_544model
70-30-4,Hexachlorophene,406.9,7.538,1e-06,18.3247,1.2631,RF_predicted_544model
3855-32-1,"2,6,10-trimethyl-2,6,10-triazaundecane",201.4,0.2133,0.0383,18.2715,1.2618,RF_predicted_544model
10081-67-1,4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline,405.6,9.246,1e-06,18.2651,1.2616,RF_predicted_544model
148-79-8,Thiabendazole,201.2,2.468,0.1382,18.1553,1.259,RF_predicted_544model
128-39-2,"""2,6-di-tert-butylphenol""",206.3,4.92,0.01953,18.1213,1.2582,RF_predicted_544model
2528-16-7,Benzyl hydrogen phthalate,256.3,2.93,0.0352,17.7526,1.2493,RF_predicted_544model
52806-53-8,Hydroxyflutamide,292.2,2.7,0.166,17.3178,1.2385,RF_predicted_544model
68-22-4,Norethindrone,298.4,2.97,0.0516,17.2543,1.2369,RF_predicted_544model
1912-24-9,Atrazine,215.7,2.611,0.1237,17.14,1.234,RF_predicted_544model
199119-58-9,Trifloxysulfuron-sodium,459.3,0.8201,0.00376,16.9612,1.2295,RF_predicted_544model
55283-68-6,Ethalfluralin,333.3,5.11,0.005,16.7232,1.2233,RF_predicted_544model
117-81-7,Diethylhexyl phthalate (dehp),390.6,7.525,0.04558,16.5673,1.2193,RF_predicted_544model
54965-24-1,Tamoxifen citrate,563.6,0.8373,0.0012,16.3478,1.2135,RF_predicted_544model
139340-56-0,Darbufelone mesylate,428.6,0.5448,0.00678,16.1466,1.2081,RF_predicted_544model
131-70-4,Monobutyl phthalate,222.2,2.372,0.2077,16.1333,1.2078,RF_predicted_544model
69-09-0,Chlorpromazine hydrochloride,355.3,1.32,0.0235,15.9755,1.2035,RF_predicted_544model
133855-98-8,Epoxiconazole,329.8,3.072,0.0575,15.9743,1.2034,RF_predicted_544model
