CAS,Compound,MW,logP,Fup,Clint_RDKit_pred,log10_Clint_pred,has_SMILES,Clint_source
66441-23-4,Fenoxaprop-ethyl,361.8,4.579,0.005,112.7722,2.0522,True,RDKit_RF_544model
81406-37-3,Fluroxypyr-meptyl,367.2,4.529,0.005,109.6972,2.0402,True,RDKit_RF_544model
1166-52-5,Lauryl gallate,338.4,4.638,1e-06,73.1429,1.8642,True,RDKit_RF_544model
13301-61-6,C.i. disperse orange 37,392.2,3.178,0.00145,69.9261,1.8446,True,RDKit_RF_544model
3739-38-6,3-phenoxybenzoic acid,214.2,3.906,0.00716,69.6245,1.8428,True,RDKit_RF_544model
94-82-6,"2,4-db",249.1,3.528,0.006623,65.252,1.8146,True,RDKit_RF_544model
92-04-6,2-chloro-4-phenylphenol,204.6,4.165,1e-06,58.9497,1.7705,True,RDKit_RF_544model
99-30-9,Dichloran,207.0,2.799,0.005,57.3212,1.7583,True,RDKit_RF_544model
3118-97-6,C.i. solvent orange 7,276.3,4.442,1e-06,55.882,1.7473,True,RDKit_RF_544model
290352-28-2,Cp-634384,341.4,3.337,0.0126,54.8289,1.739,False,RDKit_RF_544model_noSMILES
88-85-7,Dinoseb,240.2,3.559,0.00043,53.8685,1.7313,True,RDKit_RF_544model
131-17-9,Diallyl phthalate,246.3,3.229,0.9621,52.7094,1.7219,True,RDKit_RF_544model
NOCAS_48505,Pharmagsid_48505,353.8,3.169,0.0135,52.0749,1.7166,False,RDKit_RF_544model_noSMILES
1194-65-6,Dichlobenil,172.0,2.741,0.06222,51.4913,1.7117,True,RDKit_RF_544model
654055-01-3,Morin hydrate,338.3,1.499,1e-06,50.8669,1.7064,False,RDKit_RF_544model_noSMILES
534-52-1,"""2-methyl-4,6-dinitrophenol""",198.1,2.131,0.002637,49.5297,1.6949,True,RDKit_RF_544model
120-36-5,Dichlorprop,235.1,2.827,0.008529,48.8981,1.6893,True,RDKit_RF_544model
74115-24-5,Clofentezine,303.2,3.1,0.005,48.7086,1.6876,True,RDKit_RF_544model
94-74-6,Mcpa,200.6,3.243,0.01797,46.559,1.668,True,RDKit_RF_544model
101-10-0,Cloprop,200.6,2.542,0.02239,46.4389,1.6669,True,RDKit_RF_544model
129-73-7,Leucomalachite green,330.5,5.525,1e-06,46.01,1.6629,True,RDKit_RF_544model
59-50-7,4-chloro-3-methylphenol,142.6,3.091,0.0723,44.3646,1.647,True,RDKit_RF_544model
3691-35-8,Chlorophacinone,374.8,4.064,1e-06,43.8699,1.6422,True,RDKit_RF_544model
51-28-5,"""2,4-dinitrophenol""",184.1,1.672,0.02723,43.3941,1.6374,True,RDKit_RF_544model
569-57-3,Chlorotrianisene,380.9,5.725,1e-06,42.9683,1.6332,True,RDKit_RF_544model
842-07-9,C.i. solvent yellow 14,248.3,3.866,0.00277,41.6008,1.6191,True,RDKit_RF_544model
90-15-3,1-naphthol,144.2,2.85,0.0682,41.5016,1.6181,True,RDKit_RF_544model
124495-18-7,Quinoxyfen,308.1,4.66,0.005,40.4736,1.6072,True,RDKit_RF_544model
90-43-7,2-phenylphenol,170.2,3.091,0.04105,39.3938,1.5954,True,RDKit_RF_544model
84-16-2,Meso-hexestrol,270.4,4.274,0.00772,38.4668,1.5851,True,RDKit_RF_544model
93-76-5,"2,4,5-trichlorophenoxyacetic acid",255.5,3.31,0.0127,38.3141,1.5834,True,RDKit_RF_544model
84087-01-4,Quinclorac,242.1,2.772,0.02799,37.8975,1.5786,True,RDKit_RF_544model
92-84-2,Phenothiazine,199.3,4.149,0.0043,36.2908,1.5598,True,RDKit_RF_544model
298-02-2,Phorate,260.4,3.693,0.0129,36.183,1.5585,True,RDKit_RF_544model
94-75-7,"2,4-d",221.0,2.809,0.04001,34.9324,1.5432,True,RDKit_RF_544model
126-73-8,Tributyl phosphate,266.3,3.997,0.03481,34.1842,1.5338,True,RDKit_RF_544model
121-14-2,"""2,4-dinitrotoluene""",182.1,1.979,0.09602,34.1614,1.5335,True,RDKit_RF_544model
122-99-6,Phenoxyethanol,138.2,1.161,0.2957,33.9475,1.5308,True,RDKit_RF_544model
