"CAS","Compound","MW","logP","Fup","Clint","Rblood2plasma"
"80-05-7","Bisphenol-a",228.3,3.32,0.0385,19.9,0.7702
"34256-82-1","Acetochlor",269.8,3.032,0.1598,84.71,NA
"99-71-8","4-(butan-2-yl)phenol",150.2,3.083,0.0608,19.03,NA
"58-08-2","Caffeine",194.2,-0.07099,1,0.2855,1.08
"298-46-4","Carbamazepine",236.3,2.449,0.5141,2.375,1.06
"2921-88-2","Chlorpyrifos",350.6,4.959,0.007932,2.6,0.7333
"138261-41-3","Imidacloprid",255.7,0.5735,0.6559,2.807,NA
"87-86-5","Pentachlorophenol",266.3,5.119,0.05441,8.764,0.6882
"62-44-2","Phenacetin",179.2,1.58,0.6,9.346,1.01
"57-41-0","Phenytoin",252.3,2.364,0.1624,0.8178,0.8874
"94-75-7","2,4-d",221,2.809,0.04001,0,2.11
"1912-24-9","Atrazine",215.7,2.611,0.1237,0,NA
"330-54-1","Diuron",233.1,2.678,0.1615,12.15,NA
"15307-79-6","Diclofenac sodium",318.1,0.7004,0.004131,38.84,NA
"137-26-8","Thiram",240.4,1.73,3.86e-08,816,NA
"52-68-6","Trichlorfon",257.4,0.5114,0.696,31.7,NA
"2104-64-5","O-ethyl o-(p-nitrophenyl) phenylphosphonothioate",323.3,4.776,0.01016,8.16,NA
"62-73-7","Dichlorvos",221,1.429,1.18e-07,86.4,NA
"56-72-4","Coumaphos",362.8,4.128,2.9e-07,31.7,NA
