CAS,Compound,MW,logP,Fup,Clint,Rblood2plasma,Clint_RF,Clint_final,Clint_source
80-05-7,Bisphenol-a,228.3,3.32,0.0385,19.9,0.7702,19.9,19.9,httk
34256-82-1,Acetochlor,269.8,3.032,0.1598,84.71,,84.7107,84.71,httk
99-71-8,4-(butan-2-yl)phenol,150.2,3.083,0.0608,19.03,,19.03,19.03,httk
58-08-2,Caffeine,194.2,-0.07099,1.0,0.2855,1.08,0.2855,0.2855,httk
298-46-4,Carbamazepine,236.3,2.449,0.5141,2.375,1.06,2.375,2.375,httk
2921-88-2,Chlorpyrifos,350.6,4.959,0.007932,2.6,0.7333,2.6,2.6,httk
138261-41-3,Imidacloprid,255.7,0.5735,0.6559,2.807,,2.807,2.807,httk
87-86-5,Pentachlorophenol,266.3,5.119,0.05441,8.764,0.6882,8.764,8.764,httk
62-44-2,Phenacetin,179.2,1.58,0.6,9.346,1.01,9.346,9.346,httk
57-41-0,Phenytoin,252.3,2.364,0.1624,0.8178,0.8874,0.8178,0.8178,httk
94-75-7,"2,4-d",221.0,2.809,0.04001,0.0,2.11,0.0,0.0,httk
1912-24-9,Atrazine,215.7,2.611,0.1237,0.0,,0.0,0.0,httk
330-54-1,Diuron,233.1,2.678,0.1615,12.15,,12.1498,12.15,httk
15307-79-6,Diclofenac sodium,318.1,0.7004,0.004131,38.84,,38.84,38.84,httk
137-26-8,Thiram,240.4,1.73,3.86e-08,816.0,,815.9903,816.0,httk
52-68-6,Trichlorfon,257.4,0.5114,0.696,31.7,,31.6996,31.7,httk
2104-64-5,O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,323.3,4.776,0.01016,8.16,,8.1599,8.16,httk
62-73-7,Dichlorvos,221.0,1.429,1.18e-07,86.4,,86.4006,86.4,httk
56-72-4,Coumaphos,362.8,4.128,2.9e-07,31.7,,31.7002,31.7,httk
