CAS,SMILES
80-05-7,OC1=CC=C(CC2=CC=C(O)C=C2)C=C1
34256-82-1,CCOC(=O)CN(CC(=O)OCC)C(=O)CCl
99-71-8,CCC(C)c1ccc(O)cc1
58-08-2,Cn1cnc2c1c(=O)n(C)c(=O)n2C
298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21
2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
138261-41-3,O=[N+]([O-])/C(=N/Cc1ccc(Cl)nc1)NC1CCCCC1
87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
62-44-2,CCOC(=O)Nc1ccc(OCC)cc1
57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
94-75-7,OC(=O)COc1ccc(Cl)cc1Cl
1912-24-9,CCNc1nc(Cl)nc(NC(C)C)n1
330-54-1,CN(C)C(=O)Nc1ccc(Cl)cc1Cl
15307-79-6,O=C(Cc1ccccc1Cl)Nc1ccc(cc1)Cl
137-26-8,S=C(N(C)C)SSC(=S)N(C)C
52-68-6,COP(=O)(OC)C(Cl)(Cl)O
2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1
62-73-7,COP(=O)(OC)OC=C(Cl)Cl
56-72-4,CCOP(=S)(OCC)Oc1ccc2c(c1)OC(=O)C2
116-06-3,CNC(=O)O\N=C\C(C)(C)SC
101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1
79622-59-6,[O-][N+](=O)c1cc(c(Cl)c(c1Nc2ncc(cc2Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
142459-58-3,CC(C)N(C(=O)COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2
126-73-8,CCCCO[P](=O)(OCCCC)OCCCC
57-97-6,Cc1c2ccccc2c(C)c3c4ccccc4ccc13
443-48-1,Cc1ncc(n1CCO)[N+]([O-])=O
50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
99-65-0,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O
79-95-8,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c2cc(Cl)c(O)c(Cl)c2
1702-17-6,OC(=O)c1nc(Cl)ccc1Cl
131807-57-3,CC1(OC(=O)N(Nc2ccccc2)C1=O)c3ccc(Oc4ccccc4)cc3
4707-47-5,COC(=O)c1c(C)cc(O)c(C)c1O
6923-22-4,CNC(=O)\C=C(/C)O[P](=O)(OC)OC
2971-36-0,Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl
94-82-6,OC(=O)CCCOc1ccc(Cl)cc1Cl
90-43-7,Oc1ccccc1c2ccccc2
1007-28-9,CCNc1nc(N)nc(Cl)n1
