"CAS","Compound","DTXSID","Clint_native","Clint_rf","Clint_used","Clint_source","AC50_5pct_uM","AC50_med_uM","AC50_source","n_tc_assays","AED_median","AED_5pct","AED_95pct","AED_mean","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway","BER","BER_low","BER_high","concern"
"6923-22-4","Monocrotophos","DTXSID9034816",0,2.3383509756649,2.3383509756649,"RF_imputed_chem.physical_and_invitro.data",0.000434763309648529,31.7570000382596,"example.toxcast",10,0.0007376,0.000216415,0.0026622,0.00101222167,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"2610-11-9","C.i. direct red 81 disodium salt","DTXSID5041726",1.492,4.83022041615045,1.492,"httk_measured",1,1,"default_1uM",0,0.0008666,0.000293295,0.0031889,0.00119209996,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"70-30-4","Hexachlorophene","DTXSID6020690",0,0.619294228547985,0.619294228547985,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.0005772,0.000168,0.0035922,0.00108556424,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"1702-17-6","Clopyralid","DTXSID9029221",0,1.9936353692659,1.9936353692659,"RF_imputed_chem.physical_and_invitro.data",0.000851138038202377,3.51560440528298,"example.toxcast",21,0.00090635,0.00025774,0.00369075,0.00128450028,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"3913-02-8","2-butyloctan-1-ol","DTXSID0044818",0.658,2.9363202092526,0.658,"httk_measured",1,1,"default_1uM",0,0.00771,0.00191875,0.028402,0.0104094644,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"88-18-6","2-tert-butylphenol","DTXSID2026525",59.7,55.5014433758815,59.7,"httk_measured",1,1,"default_1uM",0,0.00757,0.0015098,0.0315265,0.0110702774,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"106-25-2","(2z)-3,7-dimethylocta-2,6-dien-1-ol","DTXSID3026728",1.57,9.8017345575696,1.57,"httk_measured",1,1,"default_1uM",0,0.0083505,0.00091465,0.0377,0.0129638094,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"67614-33-9","Fenvalerate","DTXSID3020621",0.766,11.4557864284548,0.766,"httk_measured",1,1,"default_1uM",0,0.009311,0.0018988,0.04079,0.0134559265,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"10081-67-1","4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline","DTXSID0027721",0,1.43878890736062,1.43878890736062,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.014255,0.00322595,0.0524225,0.0193994893,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"5809-23-4","2-[4-(diethylamino)-2-hydroxybenzoyl]benzoic acid","DTXSID4027604",2,8.31384450111218,2,"httk_measured",1,1,"default_1uM",0,0.017315,0.00337175,0.07029,0.0243424434,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
