CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
2971-36-0,"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",136.5,16.108,23.935,47.069,1.500711,1.552656,1.604013,,,,
71751-41-2,Abamectin,5.24,3.503,8.963,22.181,0.286621,0.289097,0.295576,,,,
34256-82-1,Acetochlor,84.71,8.861,14.264,22.407,6.170552,6.17913,6.193523,,,,
15972-60-8,Alachlor,62.9,12.844,18.532,27.478,3.650898,3.655098,3.66081,,,,
834-12-8,Ametryn,14.7,38.888,82.553,230.305,0.034633,0.035223,0.036255,,,,
33089-61-1,Amitraz,33.3,17.918,28.016,48.647,0.140616,0.207138,0.29554,,,,
101-05-3,Anilazine,22.5,30.588,57.357,114.805,0.170932,0.1735,0.177991,,,,
86-50-0,Azinphos-methyl,32.63,6.08,9.119,14.076,6.502213,6.512455,6.526994,,,,
131860-33-8,Azoxystrobin,32.39,5.954,8.794,13.602,1.414422,1.424716,1.438612,,,,
22781-23-3,Bendiocarb,21.66,3.006,5.674,9.745,3.076667,3.086666,3.107919,,,,
83055-99-6,Bensulfuron-methyl,1.65,6.122,9.055,16.814,0.022548,0.023597,0.024687,,,,
741-58-2,Bensulide,250.3,29.764,67.103,165.471,3.261023,3.302213,3.38914,,,,
149877-41-8,Bifenazate,41.15,9.941,41.584,396.054,4.185623,4.185623,4.185836,,,,
80-05-7,Bisphenol-a,19.9,20.638,32.508,52.101,0.106105,0.106383,0.106807,,,,
188425-85-6,Boscalid,17.28,10.978,16.875,26.064,0.508271,0.511141,0.515513,,,,
1689-84-5,Bromoxynil,7.866,4.165,7.122,11.086,5.199649,5.204206,5.213249,,,,
69327-76-0,Buprofezin,18.47,27.17,50.816,96.658,0.011144,0.01316,0.01686,,,,
23184-66-9,Butachlor,100.8,21.032,36.335,72.866,1.062398,1.087425,1.123748,,,,
33629-47-9,Butralin,31.35,16.647,24.707,35.021,0.287947,0.293662,0.303057,,,,
2008-41-5,Butylate,52.51,24.646,34.802,48.611,0.345691,0.350453,0.357361,,,,
63-25-2,Carbaryl,27.27,5.836,10.783,24.79,5.941693,5.942703,5.948595,,,,
5234-68-4,Carboxin,24.41,4.277,7.19,12.007,2.775843,2.783546,2.796625,,,,
54593-83-8,Chlorethoxyfos,617.0,32.33,66.422,149.2,7.959421,8.104761,8.381006,,,,
101-21-3,Chlorpropham,78.1,14.855,26.69,38.42,3.833806,3.838395,3.850371,,,,
5598-13-0,Chlorpyrifos-methyl,24.1,27.783,54.623,107.805,0.220432,0.223857,0.230564,,,,
87818-31-3,Cinmethylin,28.17,19.892,28.502,39.483,0.256581,0.260772,0.267296,,,,
81777-89-1,Clomazone,3.038,5.682,9.417,15.709,0.366017,0.366799,0.368083,,,,
210880-92-5,Clothianidin,10.73,3.723,6.453,10.197,4.122346,4.126393,4.134475,,,,
56-72-4,Coumaphos,31.7,31.497,63.347,134.831,0.276846,0.399721,0.634089,,,,
1134-23-2,Cycloate,34.48,24.724,33.304,46.513,0.133512,0.13543,0.137775,,,,
94361-06-5,Cyproconazole,1.538,7.274,11.238,17.002,0.187564,0.188017,0.188746,,,,
121552-61-2,Cyprodinil,37.77,24.661,33.585,45.359,0.082142,0.08452,0.087835,,,,
533-74-4,Dazomet,12.42,2.29,5.496,9.888,8.276248,8.282724,8.30337,,,,
333-41-5,Diazinon,30.5,14.627,20.143,30.201,1.122082,1.12623,1.130928,,,,
962-58-3,Diazoxon,34.62,4.922,7.651,11.899,13.735212,13.752309,13.778863,,,,
145701-21-9,Diclosulam,3.442,6.758,9.987,23.323,0.027485,0.029492,0.031168,,,,
