DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID8022325,2971-36-0,"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",317.6,4.622,0.005,1.0,,136.5,29.8119,10.2047,1.481031,1.416909,1.280608,11.289014,10.800244,9.761309,,,,,no_data,no_data,no_data
DTXSID0020442,94-75-7,"2,4-d",221.0,2.809,0.04001,1.0,,0.0,18.8869,0.0002,0.0,1.482847,0.001372,0.0,7.86502,0.007276,,,,,no_data,no_data,no_data
DTXSID7024035,94-82-6,"2,4-db",249.1,3.528,0.006623,1.0,,0.0,20.2731,10.1097,0.0,1.408315,1.326786,0.0,8.41947,7.93206,,,,,no_data,no_data,no_data
DTXSID2021151,90-43-7,2-phenylphenol,170.2,3.091,0.04105,1.0,,0.0,8.4866,0.0137,0.0,1.463284,0.090672,0.0,5.977222,0.370376,,,,,no_data,no_data,no_data
DTXSID0037495,1007-28-9,6-desisopropylatrazine,173.6,1.15,0.4588,1.0,,0.0,0.0,6.5848,0.0,0.0,1.495672,0.0,0.0,6.23157,,,,,no_data,no_data,no_data
DTXSID8023892,71751-41-2,Abamectin,819.0,4.48,0.06687,1.0,,5.24,29.0858,10.5115,1.463491,1.493289,1.481575,28.766377,29.352083,29.121843,,,,,no_data,no_data,no_data
DTXSID8023846,30560-19-1,Acephate,183.2,-0.8482,0.8684,1.0,,0.0,141.5844,0.5829,0.0,1.499893,1.474537,0.0,6.594731,6.483243,,,,,no_data,no_data,no_data
DTXSID0034300,135410-20-7,Acetamiprid,222.7,1.834,0.5732,1.0,,0.0,3.4468,7.37,0.0,1.493393,1.496903,0.0,7.981885,8.000645,,,,,no_data,no_data,no_data
DTXSID8023848,34256-82-1,Acetochlor,269.8,3.032,0.1598,1.0,,84.71,126.0929,86.1532,1.499032,1.49935,1.499048,9.706532,9.708588,9.706637,,,,,no_data,no_data,no_data
DTXSID0020022,50594-66-6,Acifluorfen,361.7,3.701,0.0111,1.0,,0.0,16.5535,8.7134,0.0,1.431881,1.37567,0.0,12.429873,11.941912,,,,,no_data,no_data,no_data
DTXSID1022265,15972-60-8,Alachlor,269.8,3.518,0.1332,1.0,,62.9,55.9291,88.471,1.498437,1.498242,1.498888,9.702677,9.701417,9.705601,,,,,no_data,no_data,no_data
DTXSID0039223,116-06-3,Aldicarb,190.3,1.129,0.4809,0.0839766700006578,,0.0,59.4497,3.2316,0.0,1.499542,1.49161,0.0,0.575132,0.57209,,,,,no_data,no_data,no_data
DTXSID1023869,834-12-8,Ametryn,227.3,2.979,0.003952,1.0,,14.7,0.0145,23.8711,1.303819,0.009769,1.372799,7.112593,0.053294,7.488892,,,,,no_data,no_data,no_data
DTXSID5023871,33089-61-1,Amitraz,293.4,5.495,1e-06,1.0,,33.3,8.8203,46.121,0.413793,0.137484,0.518083,2.913763,0.968105,3.648134,,,,,no_data,no_data,no_data
DTXSID9020089,101-05-3,Anilazine,275.5,3.878,0.005,1.09564196580531,,22.5,0.0009,26.2939,1.391853,0.000772,1.406484,10.083118,0.005591,10.189114,,,,,no_data,no_data,no_data
DTXSID9020112,1912-24-9,Atrazine,215.7,2.611,0.1237,1.0,,0.0,0.0005,0.0002,0.0,0.010539,0.004233,0.0,0.054558,0.021915,,,,,no_data,no_data,no_data
DTXSID3020122,86-50-0,Azinphos-methyl,317.3,2.749,0.2137,1.0,,32.63,0.7968,18.3312,1.498122,1.426756,1.49666,11.408499,10.865035,11.397368,,,,,no_data,no_data,no_data
DTXSID0032520,131860-33-8,Azoxystrobin,403.4,2.503,0.04763,1.0,,32.39,1.4195,1.8204,1.491549,1.328271,1.362626,14.440579,12.859785,13.192404,,,,,no_data,no_data,no_data
DTXSID9032327,22781-23-3,Bendiocarb,223.2,1.702,0.1971,1.0,,21.66,14.9083,4.2504,1.496935,1.495551,1.48451,8.018781,8.011368,7.952225,,,,,no_data,no_data,no_data
DTXSID7024164,83055-99-6,Bensulfuron-methyl,410.4,2.289,0.00905,1.0,,1.65,3.5345,3.6988,0.946143,1.178066,1.189405,9.319125,11.603478,11.715164,,,,,no_data,no_data,no_data
DTXSID9032329,741-58-2,Bensulide,397.5,4.209,0.006078,1.0,,250.3,52.5189,6.1445,1.491431,1.460019,1.2155,14.228247,13.928579,11.595873,,,,,no_data,no_data,no_data
DTXSID0023901,25057-89-0,Bentazone,240.3,2.337,0.02147,1.0,,0.0,10.614,0.9474,0.0,1.444588,1.04914,0.0,8.331226,6.050599,,,,,no_data,no_data,no_data
DTXSID5032525,149877-41-8,Bifenazate,300.4,3.165,0.836,1.0,,41.15,7.4147,43.3512,1.499619,1.497888,1.499638,10.811653,10.799171,10.811792,,,,,no_data,no_data,no_data
DTXSID9020160,82657-04-3,Bifenthrin,422.9,6.186,0.005,1.0,,0.0,33.9728,5.4331,0.0,1.426587,1.134835,0.0,14.479291,11.518122,,,,,no_data,no_data,no_data
