Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
Aldicarb,34.2282,61.4748,-0.0157,train_reconstruction
Anilazine,1.0014,1.1025,-0.2809,train_reconstruction
Bisphenol-a,1.0432,1.1361,-0.3115,train_reconstruction
Fluazinam,1.0528,1.1654,-0.6626,train_reconstruction
Flufenacet,1.052,1.1682,-0.2104,train_reconstruction
Tributyl phosphate,19.1874,19.4548,-11.8066,train_reconstruction
"""7,12-dimethylbenz(a)anthracene""",0.284,0.332,0.4197,train_reconstruction
Metronidazole,1.2069,3.031,-0.0108,train_reconstruction
Thalidomide,1.4888,2.9351,-0.0299,train_reconstruction
"1,3-dinitrobenzene",37.7774,60.2822,-0.0211,train_reconstruction
"2,2',6,6'-tetrachlorobisphenol a",0.0946,0.1129,-1.0227,train_reconstruction
Clopyralid,38.1745,67.4288,-0.0133,train_reconstruction
Famoxadone,0.337,0.3853,-0.3878,train_reconstruction
"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",0.8399,2.0023,-0.2119,train_reconstruction
Monocrotophos,19.4561,54.4923,-0.0129,train_reconstruction
Piragliatin,1.4227,1.9456,-0.0694,train_reconstruction
"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",0.2719,0.3262,0.0044,train_reconstruction
"2,4-d",66.3017,68.2806,-11.9142,train_reconstruction
"2,4-db",38.6696,39.0664,-18.3824,train_reconstruction
2-phenylphenol,52.0494,53.2152,-14.158,train_reconstruction
6-desisopropylatrazine,35.6734,63.0027,-0.0155,train_reconstruction
Abamectin,0.5928,0.6807,-2.1884,train_reconstruction
Acephate,14.5301,57.4354,-0.0431,train_reconstruction
Acetamiprid,24.7556,39.8459,-0.0302,train_reconstruction
Acetochlor,0.8232,1.1705,-0.0091,train_reconstruction
Acifluorfen,28.3157,28.6426,-13.7289,train_reconstruction
Alachlor,0.7161,0.8751,-0.0081,train_reconstruction
Malathion,0.8304,1.6433,-0.0468,train_reconstruction
Ametryn,3.6268,3.9211,-0.3949,train_reconstruction
Amitraz,1.4347,1.5448,-1.1384,train_reconstruction
Mesotrione,53.4159,87.1568,-0.0079,train_reconstruction
Atrazine,39.8458,51.6254,-1.2571,train_reconstruction
Azinphos-methyl,1.1263,1.3904,-0.066,train_reconstruction
Azoxystrobin,1.6376,1.7968,-0.4104,train_reconstruction
Bendiocarb,1.6151,2.1727,-0.1097,train_reconstruction
Bensulfuron-methyl,18.1334,19.3689,-0.5717,train_reconstruction
Bensulide,0.4214,0.5,0.0082,train_reconstruction
Bentazone,119.6286,122.0603,-17.3826,train_reconstruction
Bifenazate,0.7957,1.086,-0.0064,train_reconstruction
Bifenthrin,0.5075,0.5422,0.664,train_reconstruction
Mgk,31.0505,31.3889,-15.8206,train_reconstruction
Boscalid,1.3937,1.4938,-0.5046,train_reconstruction
Bromacil,64.2474,85.0272,-1.0823,train_reconstruction
Bromoxynil,1.0887,1.4484,-0.0276,train_reconstruction
Buprofezin,3.4686,4.1781,0.0116,train_reconstruction
Butachlor,0.3175,0.3711,0.0196,train_reconstruction
Butralin,0.2104,0.2407,-0.0333,train_reconstruction
Butylate,0.4651,0.5346,-0.0138,train_reconstruction
Carbaryl,1.0056,1.6129,-0.0073,train_reconstruction
Carboxin,1.469,1.8589,-0.1177,train_reconstruction
Chlorethoxyfos,0.284,0.3377,0.0146,train_reconstruction
Chloridazon,38.3218,65.5312,-0.0137,train_reconstruction
Chlorpropham,0.6888,0.8796,-0.0034,train_reconstruction
Chlorpyrifos-methyl,0.6158,0.6895,-0.268,train_reconstruction
Cinmethylin,0.3489,0.3954,-0.0902,train_reconstruction
Clofentezine,63.4226,64.027,-22.706,train_reconstruction
Clomazone,1.517,1.7177,-0.2689,train_reconstruction
Cloprop,98.93,100.6746,-18.6505,train_reconstruction
Clothianidin,1.2371,2.7138,-0.0108,train_reconstruction
Coumaphos,5.7794,7.3339,-0.7704,train_reconstruction
Cyanazine,32.1104,45.6466,-0.0906,train_reconstruction
Cyclanilide,12.6991,17.0832,-0.0106,train_reconstruction
Cycloate,0.6125,0.6848,-0.115,train_reconstruction
Cyproconazole,1.4072,1.5204,-0.4212,train_reconstruction
Cyprodinil,1.0906,1.2301,-0.0687,train_reconstruction
Cyromazine,20.5399,41.0163,-0.0086,train_reconstruction
"D-cis,trans-allethrin",5.238,5.5579,-4.5001,train_reconstruction
Dazomet,1.2137,2.7496,-0.0101,train_reconstruction
Diazinon,0.7196,0.791,-0.2483,train_reconstruction
Diazoxon,1.1655,1.8163,-0.0136,train_reconstruction
Dicamba,41.9692,58.3915,-0.2412,train_reconstruction
Dichlobenil,58.9921,63.0503,-5.9341,train_reconstruction
Dichloran,90.9149,91.7337,-27.3477,train_reconstruction
Dichlorprop,85.1271,85.9272,-26.0849,train_reconstruction
Diclofop-methyl,7.2031,7.3038,-4.7158,train_reconstruction
Diclosulam,11.9173,12.6639,-0.6394,train_reconstruction
Dicofol,2.142,2.4363,-0.8526,train_reconstruction
Dicrotophos,20.8908,55.2915,-0.0129,train_reconstruction
Diethylhexyl phthalate (dehp),0.2004,0.3604,0.8318,train_reconstruction
Diethyltoluamide,1.3406,1.7874,-0.0647,train_reconstruction
Difenoconazole,0.4907,0.5487,-0.4194,train_reconstruction
Difenzoquat metilsulfate,23.9153,47.6871,-0.0088,train_reconstruction
Dimethenamid,1.4161,1.8313,-0.0935,train_reconstruction
Dimethoate,1.4506,2.6939,-0.0278,train_reconstruction
Dimethomorph,1.511,1.6493,-0.3997,train_reconstruction
Dimethyl phthalate,23.5491,40.634,-0.022,train_reconstruction
Diniconazole,12.8172,12.9966,-8.2652,train_reconstruction
Diphenylamine,0.7514,0.8989,-0.0182,train_reconstruction
Dithiopyr,0.6489,0.7477,-0.3776,train_reconstruction
Diuron,1.3394,1.5317,-0.2051,train_reconstruction
Emamectin benzoate,0.5108,0.8656,0.8656,train_reconstruction
Endosulfan,15.3978,16.3746,-4.6283,train_reconstruction
Eptc,0.8498,1.0694,-0.0116,train_reconstruction
Esfenvalerate,0.4938,0.5318,0.6819,train_reconstruction
Ethalfluralin,3.9162,3.9695,-2.5171,train_reconstruction
Ethametsulfuron methyl,224.6412,232.2808,-11.8235,train_reconstruction
Ethofumesate,1.35,1.5286,-0.2297,train_reconstruction
Ethoprop,0.8164,0.9039,-0.1807,train_reconstruction
Etoxazole,1.4273,1.5585,-0.4698,train_reconstruction
Etridiazole,0.7167,0.9701,-0.013,train_reconstruction
Fenamidone,1.5205,1.6427,-0.459,train_reconstruction
Fenamiphos,0.9388,1.0881,-0.0864,train_reconstruction
Fenarimol,1.1531,1.2467,-0.5671,train_reconstruction
Fenbuconazole,1.1852,1.2734,-0.467,train_reconstruction
Fenhexamid,0.8686,0.9592,-0.2009,train_reconstruction
Fenitrothion,3.46,3.7365,-0.428,train_reconstruction
Fenoxaprop-ethyl,8.532,8.6496,-5.3214,train_reconstruction
Fenoxycarb,0.9284,1.041,-0.2076,train_reconstruction
Fenthion,0.475,0.5593,0.0028,train_reconstruction
Fipronil,15.2962,15.6096,-7.4078,train_reconstruction
Fluazifop-p-butyl,0.3126,0.3718,0.0128,train_reconstruction
Triclosan,0.3411,0.3885,-0.0768,train_reconstruction
Fludioxonil,0.6314,0.7084,-0.0973,train_reconstruction
Triflumizole,2.5513,2.9049,-0.508,train_reconstruction
Flumetralin,1.9045,1.9299,-0.5422,train_reconstruction
Flumetsulam,3.1987,3.536,-0.6037,train_reconstruction
Flumioxazin,1.8074,1.9271,-0.6384,train_reconstruction
Fluometuron,1.3432,1.6524,-0.1125,train_reconstruction
Fluoxastrobin,0.7137,0.7872,-0.7179,train_reconstruction
Fluroxypyr,2.2799,2.5952,-0.4381,train_reconstruction
Fluroxypyr-meptyl,9.135,9.2604,-5.6134,train_reconstruction
Flusilazole,0.8798,0.9553,-0.5258,train_reconstruction
Flutolanil,0.8653,0.9398,-0.4848,train_reconstruction
Foramsulfuron,166.9878,216.0085,-0.0107,train_reconstruction
Forchlorfenuron,1.1089,1.2124,-0.2929,train_reconstruction
Formetanate hydrochloride,0.9511,3.0784,-0.0121,train_reconstruction
Fosthiazate,31.4792,49.5372,-0.0226,train_reconstruction
Halosulfuron-methyl,619.3631,751.3715,-2.0195,train_reconstruction
Hexaconazole,0.7072,0.775,-0.3805,train_reconstruction
Hexazinone,1.2389,1.9779,-0.0176,train_reconstruction
Hexythiazox,0.9926,1.2691,-0.0244,train_reconstruction
Icaridin,1.2371,1.5473,-0.0788,train_reconstruction
Imazalil,23.6888,24.0058,-12.8611,train_reconstruction
Imazamox,39.8134,74.3946,-0.0095,train_reconstruction
Imazapic,20.127,29.18,-0.0724,train_reconstruction
Imazapyr,21.7975,48.6043,-0.0089,train_reconstruction
Imazaquin,1.9692,2.2834,-0.3331,train_reconstruction
Imazethapyr,1.7593,2.3932,-0.1274,train_reconstruction
Imidacloprid,1.205,2.7877,-0.0098,train_reconstruction
Indoxacarb,0.371,0.427,-0.6516,train_reconstruction
Iodosulfuron-methyl-sodium,12.5386,12.9787,-1.5148,train_reconstruction
Iprodione,3.7628,4.0268,-0.5222,train_reconstruction
Isazofos,0.7328,0.8028,-0.306,train_reconstruction
Isoxaben,0.6671,0.7331,-0.3231,train_reconstruction
Isoxaflutole,1.8702,2.0343,-0.5128,train_reconstruction
Lactofen,5.2997,5.3731,-2.7072,train_reconstruction
Lindane,28.4466,28.7714,-14.8611,train_reconstruction
Linuron,0.9892,1.1278,-0.1252,train_reconstruction
Ethylparaben,1.1592,1.562,-0.0341,train_reconstruction
Mcpa,51.2683,51.8264,-20.8295,train_reconstruction
Mesosulfuron-methyl,22.1901,23.2756,-1.4442,train_reconstruction
"""2,4-dinitrotoluene""",63.8616,87.8348,-0.6237,train_reconstruction
Metalaxyl,22.2032,36.2916,-0.0118,train_reconstruction
Methidathion,1.5217,1.855,-0.1584,train_reconstruction
Methoxychlor,0.179,0.2075,-0.2426,train_reconstruction
Methoxyfenozide,0.8563,0.9295,-0.4594,train_reconstruction
Methyl parathion,1.4391,1.5511,-0.4566,train_reconstruction
