"CAS","Compound","Track","Clint_used","Cmax","AUC","Css"
"80-05-7","Bisphenol-a","httk_native",19.9,1.112,24.5911635502,0.932552707581227
"80-05-7","Bisphenol-a","rf_imputed",9.1495,1.112,24.5911635502,0.932552707581227
"34256-82-1","Acetochlor","httk_native",84.71,0.7449,2.9831496025,0.0880274259927798
"34256-82-1","Acetochlor","rf_imputed",16.5557,0.7449,2.9831496025,0.0880274259927798
"99-71-8","4-(butan-2-yl)phenol","httk_native",19.03,1.487,27.623633347,0.965273646209386
"99-71-8","4-(butan-2-yl)phenol","rf_imputed",1.7269,1.487,27.623633347,0.965273646209386
"58-08-2","Caffeine","httk_native",0.2855,4.221,37.2456221146,1.16690433212996
"58-08-2","Caffeine","rf_imputed",0.3145,4.221,37.2456221146,1.16690433212996
"298-46-4","Carbamazepine","httk_native",2.375,1.814,26.1007196874,0.897194584837545
"298-46-4","Carbamazepine","rf_imputed",1.3034,1.814,26.1007196874,0.897194584837545
"2921-88-2","Chlorpyrifos","httk_native",2.6,11.85,195.4446550104,11.501119133574
"2921-88-2","Chlorpyrifos","rf_imputed",7.2602,11.85,195.4446550104,11.501119133574
"138261-41-3","Imidacloprid","httk_native",2.807,2.18,10.41739792885,0.292030064981949
"138261-41-3","Imidacloprid","rf_imputed",7.807,2.18,10.41739792885,0.292030064981949
"87-86-5","Pentachlorophenol","httk_native",8.764,1.249,25.1266989294,1.13050541516245
"87-86-5","Pentachlorophenol","rf_imputed",6.2391,1.249,25.1266989294,1.13050541516245
"62-44-2","Phenacetin","httk_native",9.346,1.683,6.57509486285,0.181804263537906
"62-44-2","Phenacetin","rf_imputed",1.5885,1.683,6.57509486285,0.181804263537906
"57-41-0","Phenytoin","httk_native",0.8178,6.154,126.1626467364,4.60545126353791
"57-41-0","Phenytoin","rf_imputed",2.6181,6.154,126.1626467364,4.60545126353791
"94-75-7","2,4-d","httk_native",0,44.38,990.8738869524,40.2335740072202
"94-75-7","2,4-d","rf_imputed",0.1315,44.38,990.8738869524,40.2335740072202
"1912-24-9","Atrazine","httk_native",0,21.16,430.6631569388,19.0963176895307
"1912-24-9","Atrazine","rf_imputed",0.279,21.16,430.6631569388,19.0963176895307
"330-54-1","Diuron","httk_native",12.15,2.206,17.5310733622,0.563813718411552
"330-54-1","Diuron","rf_imputed",5.8049,2.206,17.5310733622,0.563813718411552
"15307-79-6","Diclofenac sodium","httk_native",38.84,14.68,120.7928038762,3.74864223826715
"15307-79-6","Diclofenac sodium","rf_imputed",34.4407,14.68,120.7928038762,3.74864223826715
"137-26-8","Thiram","httk_native",816,11.99,204.1120807292,7.09671841155235
"137-26-8","Thiram","rf_imputed",63.8789,11.99,204.1120807292,7.09671841155235
"52-68-6","Trichlorfon","httk_native",31.7,0.3251,0.7793534576,0.0196523646209386
"52-68-6","Trichlorfon","rf_imputed",9.9624,0.3251,0.7793534576,0.0196523646209386
"2104-64-5","O-ethyl o-(p-nitrophenyl) phenylphosphonothioate","httk_native",8.16,5.953,121.3291738504,5.72237545126354
"2104-64-5","O-ethyl o-(p-nitrophenyl) phenylphosphonothioate","rf_imputed",11.202,5.953,121.3291738504,5.72237545126354
"62-73-7","Dichlorvos","httk_native",86.4,80.75,1842.80575532,75.8113357400722
"62-73-7","Dichlorvos","rf_imputed",15.7505,80.75,1842.80575532,75.8113357400722
"56-72-4","Coumaphos","httk_native",31.7,54.37,1106.3780274694,52.4635740072202
"56-72-4","Coumaphos","rf_imputed",32.0081,54.37,1106.3780274694,52.4635740072202
