"CAS","Compound","AC50_10pct_uM","AC50_source","n_active_assays","AED_median","AED_mean","AED_5pct","AED_95pct","AED_sd","n_mc_samples"
"7173-51-5","Didecyl dimethyl ammonium chloride",1,"default_1uM",0,0.004218,0.00594257719,0.00067617,0.0168215,0.0061687310733011,1000
"501027-49-2","Pd-0333941",1,"default_1uM",0,0.025295,0.0404952772,0.0048671,0.130025,0.0475675751210957,1000
"989-38-8","Rhodamine 6g",1,"default_1uM",0,0.01746,0.0433560127,0.00128945,0.15476,0.0690592337547262,1000
"94125-34-5","Prosulfuron",1,"default_1uM",0,0.07809,0.1407578099,0.0083315,0.49905,0.178947769032901,1000
"59865-13-3","Cyclosporin a",1,"default_1uM",0,0.2448,0.363752169,0.0205885,1.1075,0.401912758261939,1000
"80-05-7","Bisphenol-a",0.320554721416901,"example.toxcast",814,0.24255,0.378463442,0.0335885,1.17615,0.456436430119421,1000
"58-14-0","Pyrimethamine",1,"default_1uM",0,0.28735,0.418418702,0.0541455,1.2286,0.438691743315292,1000
"6055-19-2","Cyclophosphamide monohydrate",1,"default_1uM",0,0.5693,0.67235359,0.20786,1.48545,0.434301462908538,1000
"97-54-1","Isoeugenol",1,"default_1uM",0,0.24335,0.448060545,0.0341715,1.4935,0.655266649658218,1000
"81-07-2","Saccharin",1,"default_1uM",0,0.5176,0.72225847,0.139865,1.9634,0.703003302292096,1000
"2008-41-5","Butylate",1,"default_1uM",0,0.34285,0.59868665,0.0386885,2.0003,0.776595710414358,1000
"1470-79-7","2,4,4'-trihydroxybenzophenone",1,"default_1uM",0,0.34555,0.615728778,0.0450445,2.1004,0.859857008382385,1000
"188425-85-6","Boscalid",1,"default_1uM",0,0.47395,0.799816057,0.067242,2.70655,0.935770679750345,1000
"23184-66-9","Butachlor",1,"default_1uM",0,1.019,1.455178533,0.132245,4.21325,1.50387519196984,1000
"64-17-5","Ethanol",1,"default_1uM",0,0.7189,1.318110598,0.11572,4.3444,2.24918650329382,1000
"97-77-8","Disulfiram",1,"default_1uM",0,1.1185,1.57539526,0.163745,4.78195,1.61903304118482,1000
"120116-88-3","Cyazofamid",1,"default_1uM",0,0.9394,1.58573543,0.156795,5.06665,1.9411321380596,1000
"2467-02-9","2,2'-bisphenol f",1,"default_1uM",0,1.6805,2.59159524,0.284785,7.52575,2.89184554574645,1000
"512-56-1","Trimethyl phosphate",1,"default_1uM",0,2.2595,3.62986491,0.51437,10.854,4.39657656584349,1000
"29122-68-7","Atenolol",1,"default_1uM",0,3.6825,6.365271864,0.656745,18.1815,13.9145761589464,1000
