CAS,Compound,log10_lit,log10_pred,fold_error,in_pilot,SHAP_log10_MW,SHAP_logP,SHAP_logP^2,SHAP_log10_Fup,SHAP_sqrt_Fup,SHAP_MW*logP,SHAP_MW*Fup,SHAP_logP*Fup,SHAP_MW,MW,logP,Fup,Clint
2971-36-0,"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",2.135135833009677,1.4039557538006724,5.384930211242681,True,-0.0034848218033521933,-0.001105595162939795,-0.0035489787529119853,0.03174487598764611,-0.002086587311554866,-0.03817155827107703,0.16365455807319743,-0.0112386828667648,-0.0008997199729650917,317.6,4.622,0.005,136.5
71751-41-2,Abamectin,0.7194141597025934,0.8315413782495005,1.2945750077496732,True,-0.11506636485824454,0.09697088380322001,0.04924580055408297,0.007044736997911784,0.0015067700298364455,-0.11148952810380602,-0.2631089059618589,-0.0225109567140533,-0.08014332137898258,819.0,4.48,0.06687,5.24
34256-82-1,Acetochlor,1.927939808549331,1.247619130366686,4.789836379345887,True,-0.009155610802603183,0.07358135576961573,0.09914851528965572,-0.022523879001129097,-0.009450075682882527,-0.03014718042484412,-0.1582248209634285,0.03198238317310199,0.003316179127803928,269.8,3.032,0.1598,84.71
15972-60-8,Alachlor,1.7986575499131494,1.2595016950855356,3.460635470245547,True,-0.009257460452778057,0.08423901520325017,0.059386835555457734,-0.022523879001129097,-0.009450075682882527,-0.040646754426184824,-0.11212139165077795,0.03980985128596937,0.0009732903732153633,269.8,3.518,0.1332,62.9
834-12-8,Ametryn,1.1673468775856355,1.4822720547495933,2.0650243504857144,True,-0.0034848539750690073,0.024120953527248228,0.05839068687029402,0.02033935116410973,-0.0024552553852809833,-0.03249967021305734,0.176555273748199,-0.03142047726242807,0.003633782394183104,227.3,2.979,0.003952,14.7
33089-61-1,Amitraz,1.5224572751868333,1.6512633075495546,1.345259390710108,True,0.00027045741221308044,-0.08213724102235465,-0.058627391140162646,0.028295000032891128,0.002639685325074085,0.058954238534222256,0.42765341478981433,-0.00915547751977155,0.014278357256232384,293.4,5.495,1e-06,33.3
101-05-3,Anilazine,1.3522018196594159,1.5335135986361335,1.5181398453337718,True,-0.0032066885265080174,0.08496961186028608,0.04995815541283886,0.02033935116410973,-0.0024552553852809833,-0.04003634980190096,0.1796747003223275,-0.031410464456268126,0.006588274165134702,275.5,3.878,0.005,22.5
86-50-0,Azinphos-methyl,1.5136303832523923,1.0428124476540954,2.956772672072722,True,-0.011349265148494162,0.05091838943414103,0.07311308260178816,-0.022523879001129097,-0.009450075682882527,-0.030638745389014427,-0.3110578775955325,0.037054341532635246,-0.0023457869788123956,317.3,2.749,0.2137,32.63
131860-33-8,Azoxystrobin,1.5104243560922361,0.9322522266752881,3.7859260737446974,True,-0.06099809226277516,-0.04456995234084707,-0.00246972107738825,0.0037898784671468407,0.0011381019561103292,-0.052225533190096776,-0.08648858029372161,-0.021922970890987326,-0.07309316757354803,403.4,2.503,0.04763,32.39
22781-23-3,Bendiocarb,1.335678502356566,1.0497326807659824,1.9317273182333363,True,0.002214862009304911,-0.021134119001567687,-0.013668444871187468,-0.00784052369844441,-0.005038487327206141,-0.014756192746757936,-0.14797184931556923,-0.009314709682553005,-0.0018501184814326184,223.2,1.702,0.1971,21.66
83055-99-6,Bensulfuron-methyl,0.21774707326279358,0.961286813690484,5.540382392850946,True,-0.15496925173955212,-0.06164057454080929,0.0022972694258678542,-0.044848085744076525,-0.030851513392961064,-0.06538129759206561,0.14856494210353427,-0.02600750432364299,-0.07496943438720481,410.4,2.289,0.00905,1.65
741-58-2,Bensulide,2.39846258470057,1.653406131760468,5.559765226820061,True,-0.02876737076683735,0.08717754358588224,0.047418571826332696,0.02951497291175586,-0.005508505619517334,0.15278758644476176,0.17112120835876607,-0.005837555312876365,-0.06359258354919425,397.5,4.209,0.006078,250.3
149877-41-8,Bifenazate,1.61438039335643,1.6288046666202167,1.0337708294853585,True,-0.016231752211859723,0.09503157867248377,0.09971493894447223,-0.03825893118531963,0.023971877388741472,-0.0374121003012474,-0.052729548769435995,0.28809407924947,-0.002467739048483952,300.4,3.165,0.836,41.15
80-05-7,Bisphenol-a,1.298874899704699,1.3886996909064648,1.2297725396907186,True,-0.004112420475030608,0.06899116867289846,0.05568887267516087,-0.00844461365912147,-0.0011767251345701627,-0.036550206449673404,0.056869686333294193,-0.01478377072783477,0.003125435789946108,228.3,3.32,0.0385,19.9
188425-85-6,Boscalid,1.2375688701981984,1.2136802293427078,1.056546561246967,True,-0.0062659356800100355,0.011879867796500293,0.05375985436848087,-0.00844461365912147,-0.0011767251345701627,-0.033591778870334904,-0.053620610259593984,-0.014863933239711836,-0.0030881598603263076,343.2,2.961,0.03201,17.28
1689-84-5,Bromoxynil,0.895809150169131,0.8354159851748519,1.149193510843965,True,-0.008989341949078071,0.002860412243067213,0.024265807769017232,-0.02015724072460109,-0.009450075682882527,-0.04295462980019074,-0.32588249362489435,-0.053575554713273923,0.00020683777629438736,276.9,2.625,0.5001,7.866
69327-76-0,Buprofezin,1.2664904083111441,1.5256446063345952,1.8161603834472329,True,-0.0021057654810022986,0.06910856852034589,0.04408154390937672,0.025960847971402672,0.007695636717836223,-0.0385331624544294,0.1495616085587294,-0.004830630561075544,0.005613695272016894,305.4,4.299,0.0003605,18.47
23184-66-9,Butachlor,2.003464840565138,1.6072341949077678,2.4901794547939726,True,-0.0034848218033521933,0.0831031617525008,0.07720088947901807,0.03174487598764611,-0.002086587311554866,-0.022188590167299013,0.1858399692765603,-0.0112386828667648,-0.0007482833203813924,311.8,4.497,0.005,100.8
33629-47-9,Butralin,1.496251398039319,1.2351323717426235,1.8243956425945298,True,-0.0034848218033521933,-0.11298208929320822,-0.06918677816955925,0.03407902804913456,-0.00386187084684703,-0.04274551407182287,0.16858104193877196,-0.009121134075539623,0.004762246133651227,295.3,4.929,0.005,31.35
2008-41-5,Butylate,1.7202502889087785,1.579664943664665,1.382246010855218,True,0.003531659756983602,0.08197705894876883,0.049143189168467494,0.03174487598764611,-0.002108646038951518,-0.029150080217002477,0.18013628504772583,-0.011361954181692504,0.00666029131132508,217.4,4.149,0.005,52.51
63-25-2,Carbaryl,1.4357010633732117,0.9972610681288909,2.744353140833108,True,0.05066671149442257,0.0038236711278187923,0.014176299252256813,-0.026911332495063552,-0.023763110045715893,-0.02451180238624219,-0.3131400237389185,0.01916734727956057,0.02866104375937719,201.2,2.358,0.6922,27.27
5234-68-4,Carboxin,1.387585570715276,1.0382853027306749,2.2351170320772993,True,-0.009716125221561005,-0.026866969624689246,0.01209940358512765,-0.02015724072460109,-0.009450075682882527,-0.03490871368887373,-0.15347531718390214,0.014855272826895846,-0.0031871954362346563,235.3,2.14,0.175,24.41
54593-83-8,Chlorethoxyfos,2.790285867913517,1.637460089023915,14.217583216573779,True,-0.002705329032767354,0.08217609340551592,0.07630986898220041,0.025960847971402672,-0.002086587311554866,0.017281425955749878,0.18515807911531793,-0.02609138053340877,0.012364806590064425,336.0,4.588,0.00394,617.0
