DTXSID,CAS,Compound,has_SEEM,SEEM_mg_kg_day,AED_median,BER,concern,in_aed_ber,has_BER
DTXSID0039223,116-06-3,Aldicarb,True,1.313e-06,0.028335,66856.8164508759,MINIMAL (BER>100),True,True
DTXSID9020089,101-05-3,Anilazine,True,1.453e-07,0.51555,20217481.0736407,MINIMAL (BER>100),True,True
DTXSID7020182,80-05-7,Bisphenol-a,True,5.856e-05,0.2442,18427.2540983607,MINIMAL (BER>100),True,True
DTXSID7032551,79622-59-6,Fluazinam,True,6.555e-08,0.17495,15733028.2227307,MINIMAL (BER>100),True,True
DTXSID2032552,142459-58-3,Flufenacet,True,1.473e-07,11.31,372175831.636117,MINIMAL (BER>100),True,True
DTXSID3021986,126-73-8,Tributyl phosphate,True,1.987e-05,0.017605,2189.38097634625,MINIMAL (BER>100),True,True
DTXSID1020510,57-97-6,"""7,12-dimethylbenz(a)anthracene""",True,8.279e-06,0.08135,39068.1241695857,MINIMAL (BER>100),True,True
DTXSID2020892,443-48-1,Metronidazole,True,1.219e-07,22.21,809831829.368335,MINIMAL (BER>100),True,True
DTXSID9022524,50-35-1,Thalidomide,True,5.593e-07,0.42825,3485070.62399428,MINIMAL (BER>100),True,True
DTXSID9024065,99-65-0,"1,3-dinitrobenzene",True,1.853e-05,0.19715,31329.4657312466,MINIMAL (BER>100),True,True
DTXSID3021770,79-95-8,"2,2',6,6'-tetrachlorobisphenol a",True,3.135e-07,0.9039,11732854.8644338,MINIMAL (BER>100),True,True
DTXSID9029221,1702-17-6,Clopyralid,True,2.968e-07,0.0004355,8807.95148247978,MINIMAL (BER>100),True,True
DTXSID8034588,131807-57-3,Famoxadone,True,1.646e-07,0.63915,15999088.6998785,MINIMAL (BER>100),True,True
DTXSID9041653,4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",True,0.0001883,75.645,2283404.14232607,MINIMAL (BER>100),True,True
DTXSID9034816,6923-22-4,Monocrotophos,True,1.876e-07,0.00082845,16461.8869936034,MINIMAL (BER>100),True,True
DTXSID3048520,625114-41-2,Piragliatin,True,1.506e-07,3.704,101085657.370518,MINIMAL (BER>100),True,True
DTXSID8022325,2971-36-0,"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",True,,1.4655,,no_exposure_data,True,False
DTXSID0020442,94-75-7,"2,4-d",True,,0.01462,,no_exposure_data,True,False
DTXSID7024035,94-82-6,"2,4-db",True,,0.0043085,,no_exposure_data,True,False
DTXSID2021151,90-43-7,2-phenylphenol,True,,0.013005,,no_exposure_data,True,False
DTXSID0037495,1007-28-9,6-desisopropylatrazine,True,,0.13885,,no_exposure_data,True,False
DTXSID8023892,71751-41-2,Abamectin,False,,0.3127,,no_exposure_data,True,False
DTXSID8023846,30560-19-1,Acephate,True,,0.28825,,no_exposure_data,True,False
DTXSID0034300,135410-20-7,Acetamiprid,True,,0.18315,,no_exposure_data,True,False
DTXSID8023848,34256-82-1,Acetochlor,True,,5.7855,,no_exposure_data,True,False
DTXSID0020022,50594-66-6,Acifluorfen,True,,0.01423,,no_exposure_data,True,False
DTXSID1022265,15972-60-8,Alachlor,True,,3.64,,no_exposure_data,True,False
DTXSID4020791,121-75-5,Malathion,True,,204.2,,no_exposure_data,True,False
DTXSID1023869,834-12-8,Ametryn,True,,0.036425,,no_exposure_data,True,False
DTXSID5023871,33089-61-1,Amitraz,True,,0.1743,,no_exposure_data,True,False
DTXSID7032424,104206-82-8,Mesotrione,True,,0.54775,,no_exposure_data,True,False
DTXSID9020112,1912-24-9,Atrazine,True,,0.03294,,no_exposure_data,True,False
DTXSID3020122,86-50-0,Azinphos-methyl,True,,6.337,,no_exposure_data,True,False
DTXSID0032520,131860-33-8,Azoxystrobin,True,,1.5585,,no_exposure_data,True,False
DTXSID9032327,22781-23-3,Bendiocarb,True,,2.975,,no_exposure_data,True,False
DTXSID7024164,83055-99-6,Bensulfuron-methyl,True,,0.03237,,no_exposure_data,True,False
DTXSID9032329,741-58-2,Bensulide,True,,3.281,,no_exposure_data,True,False
