Feature,Importance
MW*Fup,0.08255749501843301
logP,0.0650378616932432
logP^2,0.062252185819808535
sqrt_Fup,0.061254015601575645
log10_Fup,0.06033567330373615
BertzCT,0.058481895015053985
logP*Fup,0.05329768309266796
MW*logP,0.045717364984116965
Kappa2,0.03532552529943382
Kappa3,0.03331877810762434
MolMR,0.03269059188304411
TPSA,0.032653024322320166
Chi1v,0.032322169632989894
log10_MW,0.031026219288871344
LabuteASA,0.029287647366108057
MW,0.029286326792111423
Chi0v,0.027961738271525385
Kappa1,0.02640018338934453
FractionCsp3,0.02484417988084597
NumValenceElectrons,0.021511300551782388
NumHeteroatoms,0.019578992525134373
HeavyAtomCount,0.018396412521626885
NumHAcceptors,0.018201256324856994
NumRotatableBonds,0.017018412473225015
NumHDonors,0.016288372168268544
NumAmideBonds,0.01245457967647209
RingCount,0.011233976034243028
NumAromaticRings,0.00853734886992466
NumAliphaticRings,0.008057227646465867
NumHalogens,0.0060450955882549355
NumAliphaticHeterocycles,0.005586731811049394
NumAromaticHeterocycles,0.0051185611501261465
NumSaturatedRings,0.004546470937573387
NumSaturatedHeterocycles,0.003374702958141826
NumRadicalElectrons,0.0
PEOE_VSA1,0.0
SMR_VSA1,0.0
